Banco,Dirección,Provincia,Localidad,Codigo Postal,Latitud,Longitud
INDUSTRIAL AND COMMERCIAL BANK OF CHINA,PUEYRREDON 198 Y VIRREY LORETO,BUENOS AIRES,VILLA BALLESTER,B1653CIQ,-34.5587,-58.572139
HSBC BANK ARGENTINA S.A.,AV. MARQUEZ 990,BUENOS AIRES,VILLA BOSCH (EST. JUAN MARÍA BOSCH),B1650BTA,-34.345722,-58.593494
BANCO SUPERVIELLE S.A.,GAUCHO CRUZ 5366,BUENOS AIRES,VILLA BOSCH (EST. JUAN MARÍA BOSCH),B1682AKJ,-34.5889,-58.5718
INDUSTRIAL AND COMMERCIAL BANK OF CHINA,JUAN DOMINGO PERON 1001 1001 Y LAUTARO,BUENOS AIRES,VILLA BOSCH (EST. JUAN MARÍA BOSCH),B1684BJA,34.636589,58.584659
INDUSTRIAL AND COMMERCIAL BANK OF CHINA,JUAN DOMINGO PERON 1001 Y LAUTARO,BUENOS AIRES,VILLA BOSCH (EST. JUAN MARÍA BOSCH),B1684BJA,34.636589,58.584659
BANCO DE LA NACION ARGENTINA,MARTIN FIERRO 6550,BUENOS AIRES,VILLA BOSCH (EST. JUAN MARÍA BOSCH),B1682ALR,-34.579334,-585.84194
BANCO DE LA NACION ARGENTINA,MARTIN FIERRO 6550,BUENOS AIRES,VILLA BOSCH (EST. JUAN MARÍA BOSCH),B1682ALR,-34.57933,-585.84194
BANCO DE LA PROVINCIA DE BUENOS AIRES,SANTOS VEGA 5837,BUENOS AIRES,VILLA BOSCH (EST. JUAN MARÍA BOSCH),B1682AIC,-34.586632,-58.576638
BANCO MACRO S.A.,AV. LIBERTADOR GRAL. SAN MARTIN 1371 PB,BUENOS AIRES,VILLA CHACABUCO,B1650HWK,-34.582784,-58.529596
HSBC BANK ARGENTINA S.A.,AV. JUAN LEMOS 2809,BUENOS AIRES,VILLA DE MAYO,B1613FKE,-34.523963,-58.868006
BBVA BANCO FRANCES S.A.,AV. MITRE 4165/9,BUENOS AIRES,VILLA DOMÍNICO,B1874AAB,-34.689709,-58.336945
BBVA BANCO FRANCES S.A.,AV. MITRE 4165/9,BUENOS AIRES,VILLA DOMÍNICO,B1874AAB,-34.689709,-58.336945
BANCO DE LA PROVINCIA DE BUENOS AIRES,AV. ARANA (CALLE 419) 1852,BUENOS AIRES,VILLA ELISA,B1894ABS,-34.864551,-58.092036
BANCO DE LA PROVINCIA DE BUENOS AIRES,CALLE 411 2541,BUENOS AIRES,VILLA ELISA,B1894DLA,-34.864791,-58.108491
BANCO DE LA PROVINCIA DE BUENOS AIRES,CALLE 411 2541,BUENOS AIRES,VILLA ELISA,B1894DLA,-34.865273,-58.108974
BANCO MACRO S.A.,CAMINO PRES. JUAN DOMINGO PERON 5490 PB,BUENOS AIRES,VILLA FIORITO,B1832DED,-34.707062,-58.454706
BANCO DE LA PROVINCIA DE BUENOS AIRES,ALAMEDA 208,BUENOS AIRES,VILLA GESELL,B7165JCV,-37.243571,-56.973464
BANCO SANTANDER RIO S.A.,AV 3 250 PB DPTO: 1,BUENOS AIRES,VILLA GESELL,B7165HCO,31.741981,60.519526
BANCO SANTANDER RIO S.A.,AV 3 250 PB DPTO: 1,BUENOS AIRES,VILLA GESELL,B7165HCO,31.74198,60.519526
BANCO DE LA PROVINCIA DE BUENOS AIRES,AV. 3 (SAN MARTIN) 141,BUENOS AIRES,VILLA GESELL,B7165KRB,-37.286623,-56.994067
BANCO DE LA PROVINCIA DE BUENOS AIRES,AV. 3 (SAN MARTIN) 751,BUENOS AIRES,VILLA GESELL,B7165HCG,-37.259689,-56.971073
BANCO DE LA NACION ARGENTINA,AVENIDA 3,BUENOS AIRES,VILLA GESELL,B7165HCV,-37.261707,-569.72544
BANCO DE LA NACION ARGENTINA,AVENIDA 3,BUENOS AIRES,VILLA GESELL,B7165HCV,-37.26171,-569.72544
BANCO DE LA PROVINCIA DE BUENOS AIRES,AV. INTENDENTE RATTI 10,BUENOS AIRES,VILLA GOBERNADOR UDAONDO,B1714KCB,-34.660867,-58.671037
BANCO DE LA NACION ARGENTINA,BELGRANO 198,BUENOS AIRES,VILLA IRIS,B8126AED,-38.171847,-632.36403
BANCO DE LA NACION ARGENTINA,MANUEL BELGRANO 198,BUENOS AIRES,VILLA IRIS,B8126AED,-38.171847,-632.364
BANCO SANTANDER RIO S.A.,AV JUAN MANUEL DE ROSAS 2431 PB DPTO: 1,BUENOS AIRES,VILLA JOSÉ LEÓN SUÁREZ,B1655AAF,-34.529351,-58.574441
BANCO DE LA PROVINCIA DE BUENOS AIRES,AV. BRIGADIER J M DE ROSAS 2500,BUENOS AIRES,VILLA JOSÉ LEÓN SUÁREZ,B1655MSS,-34.530053,-58.574726
BANCO DE LA PROVINCIA DE BUENOS AIRES,DR. IGNACIO ARIETA 264,BUENOS AIRES,VILLA LUZURIAGA,B1753AOF,-34.658528,-58.587144
BANCO DE LA PROVINCIA DE BUENOS AIRES,AV. 10 REPUBLICA DEL LIBANO 4055,BUENOS AIRES,VILLA LYNCH,B1672ASA,-34.591811,-58.525612
BBVA BANCO FRANCES S.A.,REPUBLICA DEL LIBANO 4098,BUENOS AIRES,VILLA LYNCH,B1672AFG,-34.590492,-58.522575
BBVA BANCO FRANCES S.A.,REPUBLICA DEL LIBANO 4098,BUENOS AIRES,VILLA LYNCH,B1672AFG,-34.590492,-58.522575
BANCO DE LA PROVINCIA DE BUENOS AIRES,ESTRADA 1890 Y SAAVEDRA,BUENOS AIRES,VILLA MAIPÚ,B1650KBJ,-34.56486,-58.515286
BANCO CREDICOOP COOPERATIVO LIMITADO,ESTRADA 2359,BUENOS AIRES,VILLA MAIPÚ,B6000XAL,-34.570064,-58.524045
BANCO DE LA PROVINCIA DE BUENOS AIRES,AV. MITRE 421,BUENOS AIRES,VILLA MARTELLI,B1603CQE,-34.544919,-58.501435
BBVA BANCO FRANCES S.A.,CUYO 3367,BUENOS AIRES,VILLA MARTELLI,B1640GJA,-34.50109,-58.538335
INDUSTRIAL AND COMMERCIAL BANK OF CHINA,FRANCISCO NARCISO LAPRIDA 3175,BUENOS AIRES,VILLA MARTELLI,B1603AAA,-34.544547,-58.498135
INDUSTRIAL AND COMMERCIAL BANK OF CHINA,JUAN BAUTISTA DE LA SALLE 4341,BUENOS AIRES,VILLA MARTELLI,B1603ALQ,-34.559354,-58.505524
BANCO CREDICOOP COOPERATIVO LIMITADO,LAPRIDA 3499,BUENOS AIRES,VILLA MARTELLI,B1603AAG,-34.546663,-58.501225
BANCO CREDICOOP COOPERATIVO LIMITADO,LAPRIDA 3499,BUENOS AIRES,VILLA MARTELLI,B1603AAG,-34.546663,-58.501225
BBVA BANCO FRANCES S.A.,LAPRIDA 3943,BUENOS AIRES,VILLA MARTELLI,B1603AAQ,-34.548847,-58.506096
BANCO SANTANDER RIO S.A.,LAPRIDA 4851 PB DPTO: 1,BUENOS AIRES,VILLA MARTELLI,B1603ABI,34.553313,58.515918
BANCO DE LA NACION ARGENTINA,ZUFRATEGUI 4380,BUENOS AIRES,VILLA MARTELLI,B1603DAZ,-34.553579,-585.09052
BANCO DE LA PROVINCIA DE BUENOS AIRES,SUIPACHA 245,BUENOS AIRES,VILLA ORTIZ (EST. CORONEL MOM),B6628AWE,-35.033334,-60.266667
BANCO DE LA NACION ARGENTINA,AV. DEL LIBERTADOR GRAL.S.MARTIN 199,BUENOS AIRES,VILLA RAMALLO,B2914XAB,-33.50004,-600.65383
BANCO DE LA NACION ARGENTINA,AV. DEL LIBERTADOR GRAL.S.MARTIN 199,BUENOS AIRES,VILLA RAMALLO,B2914XAB,-33.500004,-600.65383
BANCO COLUMBIA S.A.,HIPOITO YRIGOYEN 1212,BUENOS AIRES,VILLA ROSA,B1631CUL,-34.419034,-58.86747
BANCO DE GALICIA Y BUENOS AIRES S.A.U.,DR. ALEU 3101,BUENOS AIRES,VILLA SAN ANDRÉS,B1651EKA,-34.562517,-58.541328
BANCO DE LA PROVINCIA DE BUENOS AIRES,LA PATRIA 3005 Y POETA RISSO,BUENOS AIRES,VILLA SANTOS TESEI,B1688FBA,-34.613389,-58.634559
BANCO DE LA PROVINCIA DE BUENOS AIRES,MONTEVIDEO  Y CHAÑAR,BUENOS AIRES,VILLA VATTEONE,B1853AEQ,-34.819751,-58.273031
BANCO DE LA PROVINCIA DE BUENOS AIRES,52 (BELGRANO) 3747,BUENOS AIRES,VILLA YAPEYÚ,B1650CCM,-34.577259,-58.537857
BANCO DE LA PROVINCIA DE BUENOS AIRES,AV. INTENDENTE CAMPOS 2001,BUENOS AIRES,VILLA YAPEYÚ,B1650BFI,-34.577259,-58.537857
BANCO DE LA PROVINCIA DE BUENOS AIRES,DR. RICARDO BALBIN 1753,BUENOS AIRES,VILLA YAPEYÚ,B1650AAE,-34.581692,-58.54098
BANCO DE LA PROVINCIA DE BUENOS AIRES,DR. RICARDO BALBIN 3200,BUENOS AIRES,VILLA YAPEYÚ,B1650NBN,-34.571836,-58.553347
BANCO DE LA PROVINCIA DE BUENOS AIRES,RIO COLORADO 147,BUENOS AIRES,VILLALONGA,B8512AXC,-39.91484,-62.618792
BANCO DE LA PROVINCIA DE BUENOS AIRES,JUAN MANUEL DE ROSAS 21533,BUENOS AIRES,VIRREY DEL PINO,B1763ACA,-34.828133,-58.646205
COMPAÑIA FINANCIERA ARGENTINA S.A.,AV. AVELLANEDA 1825,BUENOS AIRES,VIRREYES,B1645COC,-34.451401,-58.554022
BANCO DE LA PROVINCIA DE BUENOS AIRES,AV. AVELLANEDA 3155,BUENOS AIRES,VIRREYES,B1645CPE,-34.457742,-58.566779
BANCO DE LA NACION ARGENTINA,AVELLANEDA 3315,BUENOS AIRES,VIRREYES,B1645CPG,-34.458689,-585.68523
BANCO DE LA NACION ARGENTINA,AVELLANEDA 3315,BUENOS AIRES,VIRREYES,B1645CPG,-34.45869,-585.68523
BANCO DE LA PROVINCIA DE BUENOS AIRES,LA POSTA 41,BUENOS AIRES,VIVORATA,B7798ALA,-37.658112,-57.668335
BANCO PIANO S.A.,AV MITRE 6649,BUENOS AIRES,WILDE,B1875ABJ,34.707146,58.314585
BANCO PIANO S.A.,AV MITRE 6649,BUENOS AIRES,WILDE,B1875ABJ,34.707399,58.313609
BANCO DE LA PROVINCIA DE BUENOS AIRES,AV. BARTOLOME MITRE 6458,BUENOS AIRES,WILDE,B1875ABU,-34.705436,-58.316058
BANCO DE GALICIA Y BUENOS AIRES S.A.U.,AV. LAS FLORES 241,BUENOS AIRES,WILDE,B1875DDE,-34.701905,-58.317017
BANCO COMAFI SOCIEDAD ANONIMA,AV. MITRE 5939 PB DPTO: LOCAL,BUENOS AIRES,WILDE,B1875ABC,34.701113,58.321391
BANCO CREDICOOP COOPERATIVO LIMITADO,AV. MITRE 6340,BUENOS AIRES,WILDE,B1875ABT,-34.70433,-58.316914
BANCO CREDICOOP COOPERATIVO LIMITADO,AV. MITRE 6340,BUENOS AIRES,WILDE,B1875ABT,-34.70433,-58.316914
BANCO DE LA NACION ARGENTINA,AV. MITRE 6440,BUENOS AIRES,WILDE,B1875ABU,-34.70544,-583.15644
BANCO SANTANDER RIO S.A.,AVENIDA MITRE 6222 PB DPTO: 1,BUENOS AIRES,WILDE,B1875ABS,34.703167,58.318433
BANCO SANTANDER RIO S.A.,AVENIDA MITRE 6310 PB DPTO: 1,BUENOS AIRES,WILDE,B1875ABT,34.703938,58.317319
BANCO CREDICOOP COOPERATIVO LIMITADO,LAS FLORES 1600,BUENOS AIRES,WILDE,B1875DET,-34.69114,-58.30297
BBVA BANCO FRANCES S.A.,MITRE 6250/52,BUENOS AIRES,WILDE,B1875ABS,-34.703651,-58.318138
BBVA BANCO FRANCES S.A.,MITRE 6250/52,BUENOS AIRES,WILDE,B1875ABS,-34.703651,-58.318138
BANCO SANTANDER RIO S.A.,19 DE MARZO 234 PB DPTO: 1,BUENOS AIRES,ZARATE,B2800ANF,34.096955,59.022622
BANCO MACRO S.A.,19 DE MARZO 272 PB,BUENOS AIRES,ZARATE,B2800ANF,-34.097238,-59.022405
BANCO PATAGONIA S.A.,ALMIRANTE BROWN 115,BUENOS AIRES,ZARATE,B2800ASC,-34.097031,-59.025195
BANCO CREDICOOP COOPERATIVO LIMITADO,ANDRADE 81,BUENOS AIRES,ZARATE,B2800DGA,-34.096011,-59.027155
BANCO DE LA NACION ARGENTINA,AV. RIVADAVIA 699,BUENOS AIRES,ZARATE,B2800GLM,-34.095127,-590.24015
BANCO DE LA NACION ARGENTINA,AV. RIVADAVIA 699,BUENOS AIRES,ZARATE,B2800GLM,-34.09513,-590.24015
BBVA BANCO FRANCES S.A.,BELGRANO 702,BUENOS AIRES,ZARATE,B2800JBP,-34.09594,-59.023438
BBVA BANCO FRANCES S.A.,BELGRANO 702,BUENOS AIRES,ZARATE,B2800JBP,-34.09594,-59.023438
BANCO DE LA PROVINCIA DE BUENOS AIRES,INDEPENDENCIA 802 Y JUSTA LIMA DE ATUCHA,BUENOS AIRES,ZARATE,B2800JIN,-34.097957,-59.023167
BANCO DE GALICIA Y BUENOS AIRES S.A.U.,ITUZAINGO 654,BUENOS AIRES,ZARATE,B2800JFL,-34.096488,-59.022402
BANCO COLUMBIA S.A.,JUSTA LIMA 351,BUENOS AIRES,ZARATE,B2800AQG,-34.09835,-59.022875
BANCO COMAFI SOCIEDAD ANONIMA,JUSTA LIMA DE ATUCHA 115,BUENOS AIRES,ZARATE,B2800AQC,-34.096525,-58.024243
BANCO COMAFI SOCIEDAD ANONIMA,JUSTA LIMA DE ATUCHA 115 PB DPTO: LOCAL,BUENOS AIRES,ZARATE,B2800AQC,34.096525,59.024243
COMPAÑIA FINANCIERA ARGENTINA S.A.,JUSTA LIMA DE ATUCHA 165,BUENOS AIRES,ZARATE,B2800AQC,-34.096975,-59.023941
HSBC BANK ARGENTINA S.A.,JUSTA LIMA DE ATUCHA 29,BUENOS AIRES,ZARATE,B2800AQA,-34.095835,-59.902477
BANCO CREDICOOP COOPERATIVO LIMITADO,JUSTA LIMA DE ATUCHA 299,BUENOS AIRES,ZARATE,B2800AQE,-34.097927,-59.023206
BANCO CREDICOOP COOPERATIVO LIMITADO,JUSTA LIMA DE ATUCHA 299,BUENOS AIRES,ZARATE,B2800AQE,-34.097927,-59.023206
BANCO DE LA PROVINCIA DE BUENOS AIRES,JUSTA LIMA DE ATUCHA 782,BUENOS AIRES,ZARATE,B2800AQP,-34.101624,-59.020301
BANCO SANTANDER RIO S.A.,LOPEZ Y PLANES 1360 PB DPTO: 1,BUENOS AIRES,ZARATE,B2800LAP,34.111473,59.020241
INDUSTRIAL AND COMMERCIAL BANK OF CHINA,RUTA 193 KM 3 Y CROACIA,BUENOS AIRES,ZARATE,B2800OFA,-34.098808,-59.032291
INDUSTRIAL AND COMMERCIAL BANK OF CHINA,RUTA PROVINCIAL 193 KM 3 Y CROACIA,BUENOS AIRES,ZARATE,B2800OFA,-34.098808,-59.032291
BBVA BANCO FRANCES S.A.,24 DE NOVIEMBRE 2150,CABA,CABA ZONA NORTE,C1242AAS,-34.636146,-58.410096
NUEVO BANCO DE SANTA FE SOCIEDAD ANONIMA,25 DE MAYO 168,CABA,CABA ZONA NORTE,C1002ABD,-34.60575,-58.37094
BANCO DE LA NACION ARGENTINA,25 DE MAYO 230,CABA,CABA ZONA NORTE,C1036AAF,-34.624237,-583.45029
BANCO DEL CHUBUT S.A.,25 DE MAYO 267,CABA,CABA ZONA NORTE,U9210XAC,-34.604888,-58.37116
BANCO DEL CHUBUT S.A.,25 DE MAYO 267 DPTO: LOCAL,CABA,CABA ZONA NORTE,C1002ABE,-34.604783,-58.37087
BANCO DE LA CIUDAD DE BUENOS AIRES,25 DE MAYO 294 PB,CABA,CABA ZONA NORTE,C1002ABF,-34.695438,-58.37104
BANCO DE LA CIUDAD DE BUENOS AIRES,25 DE MAYO 294 PB,CABA,CABA ZONA NORTE,C1002ABF,-34.604424,-58.37104
HSBC BANK ARGENTINA S.A.,25 DE MAYO 299,CABA,CABA ZONA NORTE,C1002ABE,-34.460421,-58.837096
BANCO DE GALICIA Y BUENOS AIRES S.A.U.,25 DE MAYO 362,CABA,CABA ZONA NORTE,C1002ABH,-34.603531,-58.371067
BANCO DE FORMOSA S.A.,25 DE MAYO 454 PB DPTO: PB Y 25 DE MAYO,CABA,CABA ZONA NORTE,C1002ABJ,-34.360891,-58.221612
BANCO DE LA NACION ARGENTINA,ABRAHAM J. LUPPI 1086,CABA,CABA ZONA NORTE,C1416ASV,-34.61229,-584.80764
BANCO CREDICOOP COOPERATIVO LIMITADO,ADOLFO ALSINA 637,CABA,CABA ZONA NORTE,C1087AAI,-34.610391,-58.375454
HSBC BANK ARGENTINA S.A.,AGUERO 628,CABA,CABA ZONA NORTE,C1193AAQ,-34.604052,-58.409729
HSBC BANK ARGENTINA S.A.,ALEM 653,CABA,CABA ZONA NORTE,C1001AAB,-34.600023,-58.37036
BANCO DE LA NACION ARGENTINA,ALFEREZ FRANCISCO PAREJA 152,CABA,CABA ZONA NORTE,C1036AAF,-34.622721,-583.55452
BANCO PATAGONIA S.A.,ALICIA M. DE JUSTO 750 UF,CABA,CABA ZONA NORTE,C1107AAB,-32.940597,-60.723476
BANCO SANTANDER RIO S.A.,ALICIA MOREAU DE JUSTO 164 PB DPTO: 1,CABA,CABA ZONA NORTE,C1107AAP,34.600326,58.367515
BANCO CREDICOOP COOPERATIVO LIMITADO,ALICIA MOREAU DE JUSTO 2036,CABA,CABA ZONA NORTE,C1107AFP,-34.623319,-58.36509
BBVA BANCO FRANCES S.A.,ALICIA MOREAU DE JUSTO 228,CABA,CABA ZONA NORTE,C1107AAF,-34.601284,-58.367401
BANCO PATAGONIA S.A.,ALICIA MOREAU DE JUSTO 750 UF 63,CABA,CABA ZONA NORTE,C1107AAP,-34.611966,-58.366281
BBVA BANCO FRANCES S.A.,ALICIA MOREAU DE JUSTO 840,CABA,CABA ZONA NORTE,C1107AAR,-34.612041,-58.366283
BANCO SANTANDER RIO S.A.,ALSINA 1338 PB DPTO: 1,CABA,CABA ZONA NORTE,C1088AAJ,34.611044,58.385311
BANCO DE LA NACION ARGENTINA,ALSINA 1356,CABA,CABA ZONA NORTE,C1088AAJ,-34.61103,-583.85553
BANCO DE LA NACION ARGENTINA,ALSINA 1356,CABA,CABA ZONA NORTE,C1203AAN,-34.61103,-583.85553
INDUSTRIAL AND COMMERCIAL BANK OF CHINA,ALSINA 2300,CABA,CABA ZONA NORTE,C1082ABF,-34.612495,-58.400263
BANCO DE LA NACION ARGENTINA,ALSINA 365,CABA,CABA ZONA NORTE,C1087AAC,-34.637295,-585.50869
BANCO DE LA NACION ARGENTINA,ALSINA 365,CABA,CABA ZONA NORTE,C1087AAC,-34.610098,-583.71587
BBVA BANCO FRANCES S.A.,ALVAREZ JONTE 5255,CABA,CABA ZONA NORTE,C1407GPG,-34.62376,-58.511086
BBVA BANCO FRANCES S.A.,ALVAREZ JONTE 5255,CABA,CABA ZONA NORTE,C1407GPG,-34.62376,-58.511086
BANCO DE LA PROVINCIA DE BUENOS AIRES,ALVAREZ JONTE 5269,CABA,CABA ZONA NORTE,C1407KQD,-34.62396,-58.5113
BANCO DE LA NACION ARGENTINA,ALVAREZ JONTE 6383,CABA,CABA ZONA NORTE,C1408BXF,-34.633374,-585.0792
BANCO DE GALICIA Y BUENOS AIRES S.A.U.,ALVAREZ JONTE 6383 PB,CABA,CABA ZONA NORTE,C1408BXF,-34.63335,-58.521236
BBVA BANCO FRANCES S.A.,ALVAREZ THOMAS 402/418,CABA,CABA ZONA NORTE,C1427CCR,-34.581067,-58.4494
BANCO COMAFI SOCIEDAD ANONIMA,AMANCIO ALCORTA 3000 PB DPTO: LOCAL,CABA,CABA ZONA NORTE,C1437JPC,34.647532,58.403121
BANCO DE LA CIUDAD DE BUENOS AIRES,AMBROSETTI 743 PB,CABA,CABA ZONA NORTE,C1405DCS,-34.608972,-58.437983
BANCO DE LA CIUDAD DE BUENOS AIRES,ARAOZ 265 PB,CABA,CABA ZONA NORTE,C1023AAT,-34.695438,-58.504719
INDUSTRIAL AND COMMERCIAL BANK OF CHINA,ARCOS 3631,CABA,CABA ZONA NORTE,C1429AZQ,-34.547123,-58.465361
BANCO DE LA NACION ARGENTINA,ARENALES 819,CABA,CABA ZONA NORTE,C1061AAC,-34.594076,-583.78839
BBVA BANCO FRANCES S.A.,ARIAS 1851,CABA,CABA ZONA NORTE,C1429DXC,-34.539545,-58.467809
BANCO SANTANDER RIO S.A.,ARIAS 3751 PB DPTO: 1,CABA,CABA ZONA NORTE,C1430CRG,34.547538,58.486304
BANCO SANTANDER RIO S.A.,ASUNCION 4189 PB DPTO: 1,CABA,CABA ZONA NORTE,C1419HGS,34.602096,58.513094
BANCO DE LA NACION ARGENTINA,"AUTOPISTA EZEIZA CAÑUELAS, TRAMO J. NEWBERY KM 1.620",CABA,CABA ZONA NORTE,C1036AAF,-34.796205,-585.15336
BANCO SANTANDER RIO S.A.,AV ALICIA MOREAU DE JUSTO 1498/1500 PB DPTO: 1,CABA,CABA ZONA NORTE,C1107AFD,34.61556,58.366004
INDUSTRIAL AND COMMERCIAL BANK OF CHINA,AV ALICIA MOREAU DE JUSTO 50,CABA,CABA ZONA NORTE,C1107AAB,-34.598823,-58.368
BANCO SANTANDER RIO S.A.,AV ALVAREZ JONTE 4502 PB DPTO: 1,CABA,CABA ZONA NORTE,C1407GOZ,34.618026,58.502433
BANCO SANTANDER RIO S.A.,AV ALVEAR 1301/29 PB DPTO: 1,CABA,CABA ZONA NORTE,C1014AAA,34.591576,58.383151
BANCO SANTANDER RIO S.A.,AV BELGRANO 980 PB DPTO: 1,CABA,CABA ZONA NORTE,C1092AAW,34.613036,58.380175
BANCO SANTANDER RIO S.A.,AV BOEDO 802 PB DPTO: 1,CABA,CABA ZONA NORTE,C1218AAR,34.622451,58.416354
BANCO SANTANDER RIO S.A.,AV CABILDO 1021 PB DPTO: 1,CABA,CABA ZONA NORTE,C1426AAK,34.569076,58.446593
BANCO SANTANDER RIO S.A.,AV CABILDO 1741 PB DPTO: 1,CABA,CABA ZONA NORTE,C1426ABE,34.565338,58.453634
INDUSTRIAL AND COMMERCIAL BANK OF CHINA,AV CABILDO 1750,CABA,CABA ZONA NORTE,C1426ABR,-34.565288,-58.453737
BANCO SANTANDER RIO S.A.,AV CABILDO 2499 PB DPTO: 1,CABA,CABA ZONA NORTE,C1428AAH,34.558383,58.459823
BANCO HIPOTECARIO S.A.,AV CABILDO 2971,CABA,CABA ZONA NORTE,C1429AAA,-34.554739,-58.462987
INDUSTRIAL AND COMMERCIAL BANK OF CHINA,AV CABILDO 3223,CABA,CABA ZONA NORTE,C1429AAD,-34.552574,-58.465251
BANCO SANTANDER RIO S.A.,AV CABILDO 3349 PB DPTO: 1,CABA,CABA ZONA NORTE,C1429AAE,34.551722,58.465991
INDUSTRIAL AND COMMERCIAL BANK OF CHINA,AV CABILDO 451,CABA,CABA ZONA NORTE,C1426AAE,-34.571681,-58.441359
BANCO SANTANDER RIO S.A.,AV CABILDO 4662/66 PB DPTO: 1,CABA,CABA ZONA NORTE,C1429ABR,34.541814,58.473606
BANCO SANTANDER RIO S.A.,AV CABILDO 769 PB DPTO: 1,CABA,CABA ZONA NORTE,C1426AAH,34.570049,58.444661
INDUSTRIAL AND COMMERCIAL BANK OF CHINA,AV CALLAO 1661,CABA,CABA ZONA NORTE,C1024AAC,-34.590356,-58.390321
BANCO SANTANDER RIO S.A.,AV CALLAO 1690 PB DPTO: 1,CABA,CABA ZONA NORTE,C1024AAP,34.590099,58.390085
BANCO SANTANDER RIO S.A.,AV CALLAO 1833 PB DPTO: 1,CABA,CABA ZONA NORTE,C1024AAE,34.588887,58.388685
INDUSTRIAL AND COMMERCIAL BANK OF CHINA,AV CALLAO 291,CABA,CABA ZONA NORTE,C1022AAC,-34.605735,-58.392143
BANCO SANTANDER RIO S.A.,AV CALLAO 349 PB DPTO: 1,CABA,CABA ZONA NORTE,C1022AAD,34.605068,58.392205
BANCO SANTANDER RIO S.A.,AV CALLAO 692 PB DPTO: 1,CABA,CABA ZONA NORTE,C1022AAT,34.600942,58.392784
BANCO SANTANDER RIO S.A.,AV CONGRESO 3924 PB DPTO: 1,CABA,CABA ZONA NORTE,C1430AZN,34.563431,58.477984
BANCO SANTANDER RIO S.A.,AV CORDOBA 1299 PB DPTO: 1,CABA,CABA ZONA NORTE,C1055AAC,34.599215,58.385487
BANCO SANTANDER RIO S.A.,AV CORDOBA 2262 PB DPTO: 1,CABA,CABA ZONA NORTE,C1120AAR,34.599639,58.399722
BANCO SANTANDER RIO S.A.,AV CORDOBA 3411 PB DPTO: 1,CABA,CABA ZONA NORTE,C1188AAA,34.597828,58.414848
INDUSTRIAL AND COMMERCIAL BANK OF CHINA,AV CORDOBA 4724,CABA,CABA ZONA NORTE,C1414BAS,-34.593052,-58.431703
BANCO SANTANDER RIO S.A.,AV CORDOBA 5030/34 PB DPTO: 1,CABA,CABA ZONA NORTE,C1414BAV,34.591268,58.434637
INDUSTRIAL AND COMMERCIAL BANK OF CHINA,AV CORDOBA 633,CABA,CABA ZONA NORTE,C1054AAF,-34.598743,-58.375847
BANCO SANTANDER RIO S.A.,AV CORRIENTES 1118/22 PB DPTO: 1,CABA,CABA ZONA NORTE,C1043AAY,34.603755,58.382459
BANCO SANTANDER RIO S.A.,AV CORRIENTES 1427 PB DPTO: 1,CABA,CABA ZONA NORTE,C1042AAA,34.62406,58.40418
BANCO SANTANDER RIO S.A.,AV CORRIENTES 1427 PB DPTO: 1,CABA,CABA ZONA NORTE,C1042AAA,34.624061,58.404181
INDUSTRIAL AND COMMERCIAL BANK OF CHINA,AV CORRIENTES 2267/9,CABA,CABA ZONA NORTE,C1046AAA,-34.604594,-58.399051
BANCO SANTANDER RIO S.A.,AV CORRIENTES 2426 PB DPTO: 1,CABA,CABA ZONA NORTE,C1046AAP,34.604687,58.401173
INDUSTRIAL AND COMMERCIAL BANK OF CHINA,AV CORRIENTES 366,CABA,CABA ZONA NORTE,C1043AAQ,-34.60313,-58.371972
INDUSTRIAL AND COMMERCIAL BANK OF CHINA,AV CORRIENTES 3829,CABA,CABA ZONA NORTE,C1194AAE,-34.603401,-58.418441
BANCO SANTANDER RIO S.A.,AV CORRIENTES 4136 PB DPTO: 1,CABA,CABA ZONA NORTE,C1195AAN,34.602964,58.423098
BANCO SANTANDER RIO S.A.,AV CORRIENTES 4624 PB DPTO: 1,CABA,CABA ZONA NORTE,C1195AAS,34.602202,58.430607
BANCO SANTANDER RIO S.A.,AV CORRIENTES 5100 PB DPTO: 1,CABA,CABA ZONA NORTE,C1414AJQ,34.600276,58.437579
INDUSTRIAL AND COMMERCIAL BANK OF CHINA,AV CORRIENTES 5386,CABA,CABA ZONA NORTE,C1414AJF,-34.598266,-58.440589
BANCO SUPERVIELLE S.A.,AV CORRIENTES 6365,CABA,CABA ZONA NORTE,C1427BPB,-34.590201,-58.449092
BANCO SANTANDER RIO S.A.,AV CRAMER 2000 PB DPTO: 1,CABA,CABA ZONA NORTE,C1428CTD,34.565706,58.460471
BANCO DE GALICIA Y BUENOS AIRES S.A.U.,AV DE LOS CONSTITUYENTES 2985,CABA,CABA ZONA NORTE,C1427BLA,-34.592255,-58.477818
BANCO SANTANDER RIO S.A.,AV DE LOS CONSTITUYENTES 5849/57 PB DPTO: 1,CABA,CABA ZONA NORTE,C1431EZJ,34.604038,58.386917
INDUSTRIAL AND COMMERCIAL BANK OF CHINA,AV DE MAYO 1202 Y SALTA,CABA,CABA ZONA NORTE,C1085ABP,-34.609196,-58.383435
